"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout on Mobile","1","0","Verify order appears in order history after checkout","0"
"0","","0","Shopping Cart on Mobile","1","0","Remove item from cart","0"
"0","","0","Browse Products on Mobile","1","0","Scroll through product list","0"
"0","","0","Checkout on Mobile","1","0","Checkout with empty cart shows appropriate message","0"
"0","","0","Shopping Cart on Mobile","1","0","Add product to cart from product page","0"
"0","","0","Browse Products on Mobile","1","0","Search products by name","0"
"0","","0","Browse Products on Mobile","1","0","View product details page","0"
"0","","0","User Authentication on Mobile","1","0","Login with invalid credentials shows error","0"
"0","","0","Checkout on Mobile","1","0","Complete checkout flow on mobile","0"
"0","","0","Browse Products on Mobile","1","0","Filter products by category","0"
"0","","0","User Authentication on Mobile","1","0","Successful login with valid credentials","0"
"0","","0","Shopping Cart on Mobile","1","0","Clear entire cart","0"
"0","","0","User Authentication on Mobile","1","0","Logout from mobile","0"
"0","","0","Browse Products on Mobile","1","0","View product catalog on mobile","0"
"0","","0","Shopping Cart on Mobile","1","0","Update quantity in cart","0"
"0","","0","Shopping Cart on Mobile","1","0","Cart persists after page refresh","0"
"0","","0","User Authentication on Mobile","1","0","Register a new user on mobile","0"
